Method,Elapsed Time (s),CPU Usage (%),,
DFS,4.19E-05,0.0332,,
DFS,4.17E-05,0.0504,,
DFS,4.13E-05,0.0756,,
DFS,4.19E-05,0.0665,,
DFS,4.11E-05,0.0665,,
DFS,4.18E-05,0.0504,,
DFS,4.03E-05,0.0665,,
DFS,4.16E-05,0.1019,,
DFS,4.02E-05,0.0504,,
DFS,4.11E-05,0.1008,,
BFS,3.91E-05,0.0332,,
BFS,3.97E-05,0.0488,,
BFS,3.97E-05,0.1008,,
BFS,3.90E-05,0.0504,,
BFS,3.97E-05,0.0504,,
BFS,3.92E-05,0.1008,,
BFS,3.89E-05,0.0977,,
BFS,3.84E-05,0,,
BFS,3.89E-05,0.0504,,
BFS,3.98E-05,0.0679,,
GBFS,9.14E-05,0.0717,,
GBFS,9.21E-05,0.0997,,
GBFS,9.05E-05,0.0801,,
GBFS,9.13E-05,0.0801,,
GBFS,9.09E-05,0.0593,,
GBFS,9.17E-05,0.0831,,
GBFS,9.12E-05,0.0601,,
GBFS,9.21E-05,0.0831,,
GBFS,9.19E-05,0.0573,,
GBFS,9.04E-05,0.0601,,
AS,0.000129084,0.0875,,
AS,0.000129279,0.0375,,
AS,0.000130282,0.0875,,
AS,0.00013778,0.067,,
AS,0.000128313,0.05,,
AS,0.000128861,0.086,,
AS,0.000132481,0.0776,,
AS,0.000129066,0.075,,
AS,0.000129646,0.0625,,
AS,0.000131996,0.0625,,
CUS1,0.000221953,0.0928,,
CUS1,0.000226592,0.0642,,
CUS1,0.000234257,0.0875,,
CUS1,0.000238364,0.0571,,
CUS1,0.000224188,0.0932,,
CUS1,0.000241301,0.0868,,
CUS1,0.000226107,0.0462,,
CUS1,0.0002259,0.0428,,
CUS1,0.000225047,0.0801,,
CUS1,0.00022837,0.0713,,
CUS2,6.95E-05,0.0992,,
CUS2,6.97E-05,0.0992,,
CUS2,7.08E-05,0.0601,,
CUS2,7.01E-05,0.0801,,
CUS2,6.97E-05,0.0756,,
CUS2,7.04E-05,0.0744,,
CUS2,7.04E-05,0.0496,,
CUS2,7.20E-05,0.0801,,
CUS2,7.55E-05,0.0801,,
CUS2,6.92E-05,0.0401,,
